% The multi-feature digit dataset
% -------------------------------
% 
% Oowned and donated by:
% ----------------------
% 
% Robert P.W. Duin
% Department of Applied Physics 
% Delft University of Technology 
% P.O. Box 5046, 2600 GA Delft
% The Netherlands
% 
% email: duin@ph.tn.tudelft.nl
% http : //www.ph.tn.tudelft.nl/~duin
% tel +31 15 2786143
% 
% Usage
% -----
% A slightly different version of the database is used in
% 
% M. van Breukelen, R.P.W. Duin, D.M.J. Tax, and J.E. den Hartog, Handwritten
%      digit recognition by combined classifiers, Kybernetika, vol. 34, no. 4,
%      1998, 381-386.
% 
% M. van Breukelen and R.P.W. Duin, Neural Network Initialization by Combined
%      Classifiers, in: A.K. Jain, S. Venkatesh, B.C. Lovell (eds.), ICPR'98,
%      Proc. 14th Int. Conference on Pattern Recognition (Brisbane, Aug. 16-20),
% 
% The database as it is is used in:
% 
% A.K. Jain, R.P.W. Duin, J. Mao, Statisitcal Pattern Recognition: A Review,
%      in preparation
% 
% Description
% -----------
% 
% This dataset consists of features of handwritten numerals (`0'--`9')
% extracted from a collection of Dutch utility maps. 200 patterns per
% class (for a total of 2,000 patterns) have been digitized in  binary
% images. These digits are represented in terms of the following six
% feature sets (files): 
% 
% 1. mfeat-fou: 76 Fourier coefficients of the character shapes; 
% 2. mfeat-fac: 216 profile correlations; 
% 3. mfeat-kar: 64 Karhunen-Love coefficients; 
% 4. mfeat-pix: 240 pixel averages in 2 x 3 windows; 
% 5. mfeat-zer: 47 Zernike moments; 
% 6. mfeat-mor: 6 morphological features. 
% 
% In each file the 2000 patterns are stored in ASCI on 2000 lines. The
% first 200 patterns are of class `0', followed by sets of 200 patterns
% for each of the classes `1' - `9'. Corresponding patterns in different
% feature sets (files) correspond to the same original character.
% 
% The source image dataset is lost. Using the pixel-dataset (mfeat-pix)
% sampled versions of the original images may be obtained (15 x 16 pixels).
% 
% Total number of instances:
% --------------------------
% 2000 (200 instances per class)
% 
% Total number of attributes:
% ---------------------------
% 649 (distributed over 6 datasets,see above)
% 
% no missing attributes
% 
% Total number of classes:
% ------------------------
% 10
% 
% Format:
% ------
% 6 files, see above.
% Each file contains 2000 lines, one for each instance.
% Attributes are SPACE separated and can be loaded by Matlab as
% > load filename
% No missing attributes. Some are integer, others are real.
% 
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation mfeat

@attribute 'att1' REAL
@attribute 'att2' REAL
@attribute 'att3' REAL
@attribute 'att4' REAL
@attribute 'att5' REAL
@attribute 'att6' REAL
@attribute 'att7' REAL
@attribute 'att8' REAL
@attribute 'att9' REAL
@attribute 'att10' REAL
@attribute 'att11' REAL
@attribute 'att12' REAL
@attribute 'att13' REAL
@attribute 'att14' REAL
@attribute 'att15' REAL
@attribute 'att16' REAL
@attribute 'att17' REAL
@attribute 'att18' REAL
@attribute 'att19' REAL
@attribute 'att20' REAL
@attribute 'att21' REAL
@attribute 'att22' REAL
@attribute 'att23' REAL
@attribute 'att24' REAL
@attribute 'att25' REAL
@attribute 'att26' REAL
@attribute 'att27' REAL
@attribute 'att28' REAL
@attribute 'att29' REAL
@attribute 'att30' REAL
@attribute 'att31' REAL
@attribute 'att32' REAL
@attribute 'att33' REAL
@attribute 'att34' REAL
@attribute 'att35' REAL
@attribute 'att36' REAL
@attribute 'att37' REAL
@attribute 'att38' REAL
@attribute 'att39' REAL
@attribute 'att40' REAL
@attribute 'att41' REAL
@attribute 'att42' REAL
@attribute 'att43' REAL
@attribute 'att44' REAL
@attribute 'att45' REAL
@attribute 'att46' REAL
@attribute 'att47' REAL
@attribute 'att48' REAL
@attribute 'att49' REAL
@attribute 'att50' REAL
@attribute 'att51' REAL
@attribute 'att52' REAL
@attribute 'att53' REAL
@attribute 'att54' REAL
@attribute 'att55' REAL
@attribute 'att56' REAL
@attribute 'att57' REAL
@attribute 'att58' REAL
@attribute 'att59' REAL
@attribute 'att60' REAL
@attribute 'att61' REAL
@attribute 'att62' REAL
@attribute 'att63' REAL
@attribute 'att64' REAL
@attribute 'class' {1,2,3,4,5,6,7,8,9,10}

@data
-10.29700756,-11.66678905,11.56066895,-2.08131576,4.04465580,4.08681488,-2.55807209,-8.47693539,2.13813472,3.50308204,-0.06407356,0.98330212,2.00134420,1.47868252,-0.40292072,1.60976803,-2.62792277,2.74171543,-2.28338909,1.23970795,-1.82724667,-1.58161497,2.02786493,-0.39405203,-1.44615936,-0.60383409,2.47522449,-1.09659052,1.31142235,-0.34620619,-0.82216394,-1.01209509,1.62056935,0.26289278,0.45735151,1.36522615,-1.12144470,-0.07117480,-0.91487825,-1.44009924,-2.19252634,0.83010828,0.45290488,1.08559155,1.96038878,-0.87715614,0.37765139,-0.30798841,-0.01794434,0.44264925,0.62042207,-1.13598573,0.08879852,0.18696856,1.07808280,0.92192733,0.49638724,-0.64366663,0.28410369,0.28655457,0.34862512,1.81469083,-1.35135269,-0.47391036,1
-5.03600883,-12.88533306,0.16115522,0.59245980,3.12353373,4.22046947,-6.41177082,-6.33532810,-0.24462175,1.34607291,-1.88800526,-1.42550921,3.54610562,-2.72800231,0.14567113,0.14437258,1.07079887,1.67683434,3.45810533,2.14182425,-0.00893003,-1.89980483,-0.20159173,0.38636827,0.32523608,-0.85755080,2.59981155,0.64687467,-0.88492870,-0.78992248,-1.01107252,1.08524919,-1.01081109,-0.52800637,-0.95061064,0.86637902,-1.17444313,-0.12563044,0.68375850,-0.28021210,-0.65806437,-0.09999166,3.12731576,0.21415664,-0.78307116,-0.42782736,-2.56055880,-1.62772012,-1.47544909,0.08751369,-0.66946489,-1.37867332,-1.56827331,-1.13307738,0.94235277,2.93879056,1.42988288,-2.33634424,1.28162766,-0.09832084,0.58235699,0.48579174,0.64245057,0.61310709,1
-9.63915730,-6.65589762,0.38868687,-1.71764970,0.30034566,3.40076900,-7.24078465,-1.65940475,-0.87400484,4.15340328,-4.73282719,2.37187290,-0.79178405,2.60947013,-2.20391130,-4.43581343,-0.76231313,-0.39408088,1.13350272,2.64404106,-3.87646961,3.06737208,-0.15099674,-0.81416202,1.29000688,-0.88531619,2.59749889,-3.26802540,-1.77711105,-0.25931001,-2.88796043,0.80343604,0.88598740,1.16418111,-2.67226529,0.21301402,2.50261712,0.01169091,-0.24138141,-0.50314313,-2.01774025,0.62305349,0.29799530,0.45353943,-0.52346694,1.17260945,-1.03432989,-1.04553866,-1.51997733,1.57861912,0.77229238,-1.64467287,0.55519545,0.37211597,-0.41317409,-0.02302837,-0.02526498,1.25983810,-0.44135952,-0.96009386,1.99584341,1.09774804,0.82718205,-1.76784039,1
-6.65037489,-7.04385138,4.10435009,-2.34278035,3.49465847,3.92482209,-9.87481213,-6.55657578,-1.36426878,1.15330791,-0.52579093,1.30655193,3.48946643,3.98759222,-1.35632849,-0.85752630,1.18055677,-4.40637112,-1.76198769,2.74206448,-1.60130620,0.72142315,2.88897300,-0.98409808,-0.90093124,0.28038907,0.00023922,-2.23101187,-1.07799864,-1.49962640,-2.01117992,0.74187589,-0.30311966,0.14971310,0.07259911,-2.51524448,0.59398389,-1.34273124,0.45423162,-0.98987669,0.38891983,-0.53934062,0.83394969,-0.29263312,0.00102115,0.54033875,0.85815847,-0.72720027,1.44151688,-0.13320547,-1.07208598,-1.57570672,0.27611160,-0.55331683,-0.96123606,-1.04381537,-0.20450807,-1.98115003,0.98243803,-0.14423257,-1.44932783,-0.91355228,-0.77173537,0.30499166,1
-10.66452408,-10.97413254,0.19439051,0.45388469,2.19308758,-3.30466342,-8.37659168,-4.24114609,2.96481824,-0.94962198,-1.49319553,-1.32538962,1.72949123,-0.63802475,-1.78516102,1.26610661,0.68363190,3.10604882,0.81261969,1.70978236,1.84516191,-2.60205603,-0.00562409,-0.14986587,0.54909253,-1.27237809,1.98250115,1.10676837,0.18394923,0.06128049,0.40201354,0.81485009,-3.79640913,-1.31794524,-1.21073055,-1.22360432,-1.28110492,0.35282964,0.26476979,-1.29544103,-1.48274112,-0.56818974,0.88733780,2.18046236,2.43958783,1.22839928,-2.08400083,0.31535935,-0.87788588,0.84851408,-0.65470469,-0.40614486,-0.33539081,-0.72284675,0.15295726,1.44816041,-1.25490713,-3.48129487,-0.56388867,1.52933514,0.51039940,0.29831785,-0.94321269,1.14984739,1
3.43761778,-3.91450167,-1.12680268,4.03733730,-2.51349759,1.73334265,-8.81278515,-4.18172646,8.66211700,-2.78392625,4.71745014,6.02195644,8.26852226,1.53816581,0.33972073,4.25197697,-1.58556354,2.30210304,1.98904133,1.01600456,0.14805859,-0.63774627,-4.05436325,3.96678066,-1.82035065,3.76235247,0.01849514,1.50801635,0.84758711,-2.54333544,-1.82369840,2.13441086,2.37541938,2.56613088,1.20078290,-3.72988772,2.00805211,-0.78168851,2.11913109,-3.18023324,1.26827073,-0.07902773,-1.46358788,3.05115390,0.43409252,-0.63722652,1.03862607,0.73440015,-0.52425808,0.85377204,0.68123037,2.52312851,0.28975725,-0.32469475,-0.56110281,0.89597452,0.52090955,-2.05292678,-0.57287437,0.17989838,-1.10531461,-0.75876600,1.42064130,1.64978492,1
-13.98687077,-9.61089706,9.99692726,-3.32652187,3.60003996,-1.11808157,-5.24666786,-3.25996327,2.39734578,-1.80013680,-0.03508186,0.97372365,1.77047396,2.73173714,-0.62477922,1.52598596,-2.01748610,1.54783702,-4.38622856,1.78231001,-0.58108103,0.05264497,2.10602283,0.34989619,0.53983974,-1.18181860,2.02234697,-1.48034477,1.20617461,1.94224060,-1.41625702,0.84463072,-1.84133351,-0.91141778,0.47256970,-1.51660395,0.43416023,1.62544107,-0.11655295,-1.21438849,-2.16012669,1.32585573,0.58243203,-0.06360907,0.65575230,0.22022945,0.36864197,1.09851444,0.13944754,0.34232044,0.13026564,-0.19490480,1.16243696,0.86516386,-1.10842419,-1.60139573,-1.01506853,-1.25755322,-0.28989509,-0.09453368,1.07628357,-0.39815634,1.52253163,0.92108792,1
-10.95148945,-11.32759190,4.45351934,-2.69360018,1.14145672,-0.06617391,-9.37473774,-6.92607784,0.11543465,1.78865194,-0.63146782,-2.37157130,1.51382077,-0.05808178,-1.35270834,0.57543886,-0.62887645,0.13499141,-0.94782603,-0.03032994,-2.00385952,-1.88294744,1.00914037,-3.30583930,-1.20646811,-0.88408154,2.93054295,0.37994111,-0.07278490,-0.27647954,-1.25880754,-0.46680689,-0.66411942,0.86878777,-0.22851241,-0.11879042,-1.84368420,-0.05812305,-0.30778015,0.54651940,-0.76326126,0.17788911,-0.50234246,0.59062505,0.15358096,1.46150625,-0.54500943,-0.89935660,-0.54109621,0.10427713,-1.36749101,0.28856921,1.88805687,-0.08112621,-0.09526020,-0.65040207,-0.21611786,1.07190406,0.80500203,0.92722774,0.31506139,-0.06218287,0.98496926,0.25308716,1
-13.14117336,-13.00230408,12.33443832,-3.00188780,2.88424301,-0.15115225,0.35371828,-1.10550380,3.59855676,0.55361831,-0.20296931,-0.29433846,2.40556335,-0.54101306,-0.34484816,3.44001627,-4.82740211,2.11421084,-2.32843590,-1.67416525,0.45099717,-0.40359515,1.97526312,0.82006288,-1.15583277,-1.28689206,2.95406055,0.91433334,0.66722131,0.53906560,-2.92117119,0.63459277,-0.72798419,-0.88445801,0.70718563,-1.43986726,0.86837626,2.76316833,-1.59167540,-1.16553187,-2.40987825,-0.41604424,-0.18437535,-0.29452175,-0.22035110,0.16643959,0.89440250,-1.33142281,-0.05367829,1.11944807,-0.02503638,0.48196787,-0.51656270,0.29529214,0.55565989,-0.09457046,0.70878196,-0.09180011,-0.27694249,-0.63486564,0.29471844,1.02031898,-0.56620491,0.47906640,1
-10.33485031,-5.19397831,8.16801643,-0.39241692,2.70618200,3.76249838,-4.16494179,-0.97676826,0.54474783,0.95018053,-3.48539734,3.27946091,1.77233720,2.80083489,-2.15156507,-2.38730574,0.99675250,-0.30295706,0.77509356,3.90917110,-3.11364579,3.19658113,0.02342904,3.15575933,2.31847429,0.51206923,3.29236126,-3.11094022,-1.66327620,-1.61017156,-1.44254601,2.33875942,-1.54168737,1.88801026,1.07112074,0.37622365,1.43506908,-0.13419133,0.37348115,-2.37844658,-1.60623407,0.10396072,1.38474429,0.24101754,0.28038067,-0.69344521,0.33471394,-1.13014412,1.41490602,1.51424611,0.73238838,-1.28599107,-0.11191750,-0.99477172,0.27878100,-0.83014452,-1.15246129,1.62202549,0.38443023,-1.02590668,-0.32227629,0.54187149,0.81351554,0.04528630,1
